Voltage,Current,Concentration
0.18588,21.7104,25
0.19609,21.07341,25
0.2063,20.40491,25
0.21651,19.95341,25
0.22672,19.77841,25
0.23692,19.57541,25
0.24713,19.33391,25
0.25734,19.51591,25
0.26754,19.63491,25
0.27775,19.64891,25
0.28796,19.91141,25
0.29817,20.23691,25
0.30838,20.44341,25
0.31858,20.66741,25
0.32879,21.1364,25
0.339,21.4584,25
0.34921,21.6264,25
0.35941,22.1164,25
0.36962,22.4979,25
0.37983,22.6834,25
-0.31428,12.03995,30
-0.30408,11.78795,30
-0.29387,11.75995,30
-0.28366,11.71795,30
-0.27346,11.59195,30
-0.26325,11.57795,30
-0.25304,11.66195,30
-0.24283,11.66195,30
-0.23263,11.64795,30
-0.22242,11.85795,30
-0.21221,11.98395,30
-0.202,12.03995,30
-0.19179,12.27794,30
-0.18159,12.54394,30
-0.17138,12.72594,30
-0.16117,13.01994,30
-0.15096,13.43994,30
-0.14076,13.81794,30
-0.13055,14.15394,30
-0.12034,14.78393,30
-0.11013,15.37193,30
-0.09993,15.93193,30
-0.08972,16.73692,30
-0.07951,17.63292,30
-0.0693,18.47992,30
-0.0591,19.43891,30
-0.04889,20.64991,30
-0.03868,21.6859,30
-0.02847,22.5469,30
-0.01827,23.73689,30
-0.00806,24.70989,30
0.00215,25.38888,30
0.01236,26.18688,30
0.02256,26.97788,30
0.03277,27.48188,30
0.04298,27.85287,30
0.05319,28.50387,30
0.06339,28.83287,30
0.0736,28.83987,30
0.08381,29.17587,30
0.09402,29.26687,30
0.10422,28.96587,30
0.11443,28.66487,30
0.12464,28.35687,30
0.13485,27.64288,30
0.14505,26.65588,30
0.15526,25.97688,30
0.16547,25.08439,30
0.17568,23.98889,30
0.18588,23.2854,30
0.19609,22.6694,30
0.2063,22.0114,30
0.21651,21.5669,30
0.22672,21.4269,30
0.23692,21.2309,30
0.24713,21.01041,30
0.25734,21.2379,30
0.26754,21.3884,30
0.27775,21.4304,30
0.28796,21.7279,30
0.29817,22.0954,30
0.30838,22.3229,30
0.31858,22.5574,30
0.32879,23.0509,30
0.339,23.3764,30
0.34921,23.53739,30
0.35941,24.04139,30
0.36962,24.41589,30
0.37983,24.58039,30
-0.31428,13.00594,35
-0.30408,12.76794,35
-0.29387,12.78194,35
-0.28366,12.76794,35
-0.27346,12.65594,35
-0.26325,12.66994,35
-0.25304,12.78194,35
-0.24283,12.80994,35
-0.23263,12.80994,35
-0.22242,13.04794,35
-0.21221,13.20194,35
-0.202,13.24394,35
-0.19179,13.50994,35
-0.18159,13.78994,35
-0.17138,13.94394,35
-0.16117,14.22394,35
-0.15096,14.65794,35
-0.14076,14.99393,35
-0.13055,15.30193,35
-0.12034,15.93193,35
-0.11013,16.50593,35
-0.09993,17.00992,35
-0.08972,17.82192,35
-0.07951,18.71792,35
-0.0693,19.54391,35
-0.0591,20.46791,35
-0.04889,21.6719,35
-0.03868,22.6729,35
-0.02847,23.47789,35
-0.01827,24.64689,35
-0.00806,25.62688,35
0.00215,26.31988,35
0.01236,27.15988,35
0.02256,27.99987,35
0.03277,28.51087,35
0.04298,28.90987,35
0.05319,29.59587,35
0.06339,29.95987,35
0.0736,29.96687,35
0.08381,30.33786,35
0.09402,30.44286,35
0.10422,30.13487,35
0.11443,29.83387,35
0.12464,29.51887,35
0.13485,28.76987,35
0.14505,27.74087,35
0.15526,27.03388,35
0.16547,26.08188,35
0.17568,24.93739,35
0.18588,24.17089,35
0.19609,23.4989,35
0.2063,22.7814,35
0.21651,22.2634,35
0.22672,22.0569,35
0.23692,21.8084,35
0.24713,21.5039,35
0.25734,21.6614,35
0.26754,21.7594,35
0.27775,21.7209,35
0.28796,21.9344,35
0.29817,22.2214,35
0.30838,22.3894,35
0.31858,22.5574,35
0.32879,22.9739,35
0.339,23.2364,35
0.34921,23.33089,35
0.35941,23.75789,35
0.36962,24.06589,35
0.37983,24.19539,35
-0.31428,12.38994,40
-0.30408,12.16594,40
-0.29387,12.16594,40
-0.28366,12.15195,40
-0.27346,12.03995,40
-0.26325,12.03995,40
-0.25304,12.13795,40
-0.24283,12.15195,40
-0.23263,12.15195,40
-0.22242,12.37594,40
-0.21221,12.52994,40
-0.202,12.59994,40
-0.19179,12.87994,40
-0.18159,13.15994,40
-0.17138,13.36994,40
-0.16117,13.67794,40
-0.15096,14.15394,40
-0.14076,14.54594,40
-0.13055,14.92393,40
-0.12034,15.59593,40
-0.11013,16.19793,40
-0.09993,16.79992,40
-0.08972,17.66792,40
-0.07951,18.63392,40
-0.0693,19.56491,40
-0.0591,20.60091,40
-0.04889,21.9029,40
-0.03868,23.0509,40
-0.02847,23.98889,40
-0.01827,25.29089,40
-0.00806,26.37588,40
0.00215,27.15288,40
0.01236,28.07687,40
0.02256,29.01487,40
0.03277,29.61687,40
0.04298,30.07886,40
0.05319,30.83486,40
0.06339,31.23386,40
0.0736,31.25486,40
0.08381,31.62586,40
0.09402,31.70986,40
0.10422,31.36686,40
0.11443,31.00986,40
0.12464,30.63886,40
0.13485,29.79887,40
0.14505,28.65787,40
0.15526,27.81087,40
0.16547,26.69088,40
0.17568,25.41339,40
0.18588,24.53839,40
0.19609,23.77189,40
0.2063,22.9774,40
0.21651,22.4174,40
0.22672,22.2179,40
0.23692,21.9869,40
0.24713,21.7209,40
0.25734,21.9309,40
0.26754,22.0814,40
0.27775,22.1304,40
0.28796,22.4419,40
0.29817,22.8304,40
0.30838,23.0754,40
0.31858,23.3414,40
0.32879,23.86289,40
0.339,24.21639,40
0.34921,24.39139,40
0.35941,24.93389,40
0.36962,25.32939,40
0.37983,25.50789,40
-0.31428,11.77395,45
-0.30408,11.53595,45
-0.29387,11.52195,45
-0.28366,11.46595,45
-0.27346,11.32595,45
-0.26325,11.28395,45
-0.25304,11.33995,45
-0.24283,11.32595,45
-0.23263,11.31195,45
-0.22242,11.46595,45
-0.21221,11.60595,45
-0.202,11.64795,45
-0.19179,11.84395,45
-0.18159,12.09594,45
-0.17138,12.29195,45
-0.16117,12.61394,45
-0.15096,13.07594,45
-0.14076,13.49594,45
-0.13055,13.91594,45
-0.12034,14.64393,45
-0.11013,15.37193,45
-0.09993,16.12793,45
-0.08972,17.12192,45
-0.07951,18.24192,45
-0.0693,19.31991,45
-0.0591,20.50991,45
-0.04889,21.9099,45
-0.03868,23.1279,45
-0.02847,24.16389,45
-0.01827,25.60588,45
-0.00806,26.86588,45
0.00215,27.77588,45
0.01236,28.82587,45
0.02256,29.83387,45
0.03277,30.54786,45
0.04298,31.11486,45
0.05319,31.94786,45
0.06339,32.40985,45
0.0736,32.50085,45
0.08381,32.90685,45
0.09402,33.00485,45
0.10422,32.61285,45
0.11443,32.19986,45
0.12464,31.73786,45
0.13485,30.77886,45
0.14505,29.50487,45
0.15526,28.52487,45
0.16547,27.26488,45
0.17568,25.85088,45
0.18588,24.82889,45
0.19609,23.90489,45
0.2063,22.9669,45
0.21651,22.2739,45
0.22672,21.9204,45
0.23692,21.5494,45
0.24713,21.16791,45
0.25734,21.2729,45
0.26754,21.3079,45
0.27775,21.2379,45
0.28796,21.4619,45
0.29817,21.7559,45
0.30838,21.9239,45
0.31858,22.1234,45
0.32879,22.5749,45
0.339,22.8864,45
0.34921,23.0264,45
0.35941,23.52689,45
0.36962,23.91539,45
0.37983,24.08339,45
-0.31428,12.85194,50
-0.30408,12.61394,50
-0.29387,12.64194,50
-0.28366,12.56844,50
-0.27346,12.50194,50
-0.26325,12.51594,50
-0.25304,12.57544,50
-0.24283,12.64194,50
-0.23263,12.64194,50
-0.22242,12.83794,50
-0.21221,12.97794,50
-0.202,13.03394,50
-0.19179,13.31394,50
-0.18159,13.57994,50
-0.17138,13.76194,50
-0.16117,14.05594,50
-0.15096,14.53193,50
-0.14076,14.93793,50
-0.13055,15.31593,50
-0.12034,16.04393,50
-0.11013,16.75793,50
-0.09993,17.45792,50
-0.08972,18.47992,50
-0.07951,19.59991,50
-0.0693,20.62191,50
-0.0591,21.7839,50
-0.04889,23.1559,50
-0.03868,24.34589,50
-0.02847,25.31189,50
-0.01827,26.66988,50
-0.00806,27.84588,50
0.00215,28.71387,50
0.01236,29.77787,50
0.02256,30.85586,50
0.03277,31.55586,50
0.04298,32.16485,50
0.05319,33.01885,50
0.06339,33.48785,50
0.0736,33.53685,50
0.08381,33.94985,50
0.09402,34.05484,50
0.10422,33.66285,50
0.11443,33.25685,50
0.12464,32.78085,50
0.13485,31.82186,50
0.14505,30.52686,50
0.15526,29.54687,50
0.16547,28.27987,50
0.17568,26.84838,50
0.18588,25.82288,50
0.19609,24.89889,50
0.2063,23.93989,50
0.21651,23.2259,50
0.22672,22.8689,50
0.23692,22.4734,50
0.24713,22.0639,50
0.25734,22.1444,50
0.26754,22.1619,50
0.27775,22.0849,50
0.28796,22.2844,50
0.29817,22.5434,50
0.30838,22.6799,50
0.31858,22.8444,50
0.32879,23.2609,50
0.339,23.53389,50
0.34921,23.64589,50
0.35941,24.10439,50
0.36962,24.45439,50
0.37983,24.60139,50
-0.31428,12.72594,55
-0.30408,12.51594,55
-0.29387,12.52994,55
-0.28366,12.51594,55
-0.27346,12.40394,55
-0.26325,12.40394,55
-0.25304,12.51594,55
-0.24283,12.52994,55
-0.23263,12.51594,55
-0.22242,12.72594,55
-0.21221,12.86594,55
-0.202,12.90794,55
-0.19179,13.17394,55
-0.18159,13.46794,55
-0.17138,13.63594,55
-0.16117,13.94394,55
-0.15096,14.41993,55
-0.14076,14.82593,55
-0.13055,15.21793,55
-0.12034,15.95993,55
-0.11013,16.67392,55
-0.09993,17.41592,55
-0.08972,18.45192,55
-0.07951,19.59991,55
-0.0693,20.67791,55
-0.0591,21.8959,55
-0.04889,23.33789,55
-0.03868,24.59789,55
-0.02847,25.64789,55
-0.01827,27.10388,55
-0.00806,28.36387,55
0.00215,29.32987,55
0.01236,30.47786,55
0.02256,31.61186,55
0.03277,32.38186,55
0.04298,32.96985,55
0.05319,33.87985,55
0.06339,34.36985,55
0.0736,34.42585,55
0.08381,34.83184,55
0.09402,34.91584,55
0.10422,34.48884,55
0.11443,34.01984,55
0.12464,33.50885,55
0.13485,32.48685,55
0.14505,31.11486,55
0.15526,30.07187,55
0.16547,28.72787,55
0.17568,27.21938,55
0.18588,26.12388,55
0.19609,25.15089,55
0.2063,24.16389,55
0.21651,23.43239,55
0.22672,23.0999,55
0.23692,22.7219,55
0.24713,22.3369,55
0.25734,22.4454,55
0.26754,22.5189,55
0.27775,22.4349,55
0.28796,22.6659,55
0.29817,22.9809,55
0.30838,23.1629,55
0.31858,23.3554,55
0.32879,23.81039,55
0.339,24.12189,55
0.34921,24.26539,55
0.35941,24.77639,55
0.36962,25.14739,55
0.37983,25.31189,55
-0.31428,13.17394,60
-0.30408,12.97794,60
-0.29387,12.99194,60
-0.28366,12.99194,60
-0.27346,12.87994,60
-0.26325,12.90794,60
-0.25304,13.03394,60
-0.24283,13.04794,60
-0.23263,13.04794,60
-0.22242,13.28594,60
-0.21221,13.42594,60
-0.202,13.49594,60
-0.19179,13.78994,60
-0.18159,14.05594,60
-0.17138,14.23794,60
-0.16117,14.55993,60
-0.15096,15.04993,60
-0.14076,15.45593,60
-0.13055,15.86193,60
-0.12034,16.61793,60
-0.11013,17.31792,60
-0.09993,18.05992,60
-0.08972,19.12391,60
-0.07951,20.27191,60
-0.0693,21.34991,60
-0.0591,22.5679,60
-0.04889,24.05189,60
-0.03868,25.33989,60
-0.02847,26.38988,60
-0.01827,27.90187,60
-0.00806,29.20387,60
0.00215,30.19786,60
0.01236,31.37386,60
0.02256,32.57786,60
0.03277,33.38985,60
0.04298,34.01985,60
0.05319,34.95784,60
0.06339,35.48984,60
0.0736,35.53184,60
0.08381,36.00784,60
0.09402,36.09184,60
0.10422,35.65084,60
0.11443,35.17484,60
0.12464,34.60784,60
0.13485,33.53685,60
0.14505,32.10186,60
0.15526,30.98186,60
0.16547,29.58187,60
0.17568,27.96487,60
0.18588,26.84138,60
0.19609,25.82288,60
0.2063,24.79039,60
0.21651,24.04489,60
0.22672,23.68089,60
0.23692,23.28539,60
0.24713,22.8899,60
0.25734,23.0019,60
0.26754,23.0614,60
0.27775,23.0229,60
0.28796,23.2469,60
0.29817,23.55489,60
0.30838,23.73339,60
0.31858,23.92939,60
0.32879,24.39489,60
0.339,24.70639,60
0.34921,24.84289,60
0.35941,25.35389,60
0.36962,25.74589,60
0.37983,25.91738,60
-0.31428,13.94394,65
-0.30408,13.74794,65
-0.29387,13.80394,65
-0.28366,13.83194,65
-0.27346,13.74794,65
-0.26325,13.77594,65
-0.25304,13.91594,65
-0.24283,13.95794,65
-0.23263,13.98594,65
-0.22242,14.25194,65
-0.21221,14.40593,65
-0.202,14.47594,65
-0.19179,14.76993,65
-0.18159,15.06393,65
-0.17138,15.25993,65
-0.16117,15.56793,65
-0.15096,16.05793,65
-0.14076,16.46393,65
-0.13055,16.84192,65
-0.12034,17.61192,65
-0.11013,18.29792,65
-0.09993,18.99791,65
-0.08972,20.06191,65
-0.07951,21.1679,65
-0.0693,22.1899,65
-0.0591,23.3659,65
-0.04889,24.79389,65
-0.03868,26.03988,65
-0.02847,27.03388,65
-0.01827,28.48987,65
-0.00806,29.77787,65
0.00215,30.77186,65
0.01236,31.96186,65
0.02256,33.16585,65
0.03277,34.01985,65
0.04298,34.70584,65
0.05319,35.69984,65
0.06339,36.25984,65
0.0736,36.39984,65
0.08381,36.88284,65
0.09402,37.01583,65
0.10422,36.60984,65
0.11443,36.16184,65
0.12464,35.62984,65
0.13485,34.55884,65
0.14505,33.10285,65
0.15526,31.96186,65
0.16547,30.51286,65
0.17568,28.83987,65
0.18588,27.64988,65
0.19609,26.61738,65
0.2063,25.52539,65
0.21651,24.72389,65
0.22672,24.32139,65
0.23692,23.88739,65
0.24713,23.4464,65
0.25734,23.53039,65
0.26754,23.55489,65
0.27775,23.4674,65
0.28796,23.67389,65
0.29817,23.96789,65
0.30838,24.11139,65
0.31858,24.29689,65
0.32879,24.73089,65
0.339,25.02489,65
0.34921,25.14739,65
0.35941,25.64438,65
0.36962,26.01538,65
0.37983,26.16938,65
-0.31428,12.17995,70
-0.30408,11.92795,70
-0.29387,11.92795,70
-0.28366,11.87195,70
-0.27346,11.74595,70
-0.26325,11.70395,70
-0.25304,11.77395,70
-0.24283,11.75995,70
-0.23263,11.71795,70
-0.22242,11.89995,70
-0.21221,12.02595,70
-0.202,12.05394,70
-0.19179,12.31994,70
-0.18159,12.59994,70
-0.17138,12.78194,70
-0.16117,13.08994,70
-0.15096,13.60794,70
-0.14076,14.06994,70
-0.13055,14.50393,70
-0.12034,15.30193,70
-0.11013,16.09993,70
-0.09993,16.92592,70
-0.08972,18.10192,70
-0.07951,19.43191,70
-0.0693,20.77591,70
-0.0591,22.3159,70
-0.04889,24.14989,70
-0.03868,25.84388,70
-0.02847,27.35588,70
-0.01827,29.30187,70
-0.00806,30.98186,70
0.00215,32.26985,70
0.01236,33.66985,70
0.02256,34.99984,70
0.03277,35.85384,70
0.04298,36.48384,70
0.05319,37.40783,70
0.06339,37.84183,70
0.0736,37.74383,70
0.08381,38.05183,70
0.09402,37.95383,70
0.10422,37.26783,70
0.11443,36.52583,70
0.12464,35.69984,70
0.13485,34.28585,70
0.14505,32.51485,70
0.15526,31.11486,70
0.16547,29.45587,70
0.17568,27.67788,70
0.18588,26.46338,70
0.19609,25.41689,70
0.2063,24.42639,70
0.21651,23.75789,70
0.22672,23.50939,70
0.23692,23.2504,70
0.24713,22.9949,70
0.25734,23.27139,70
0.26754,23.48839,70
0.27775,23.56889,70
0.28796,23.96789,70
0.29817,24.44039,70
0.30838,24.74489,70
0.31858,25.06689,70
0.32879,25.67938,70
0.339,26.09588,70
0.34921,26.31288,70
0.35941,26.92888,70
0.36962,27.39438,70
0.37983,27.60788,70
-0.31428,13.35594,75
-0.30408,13.11794,75
-0.29387,13.13194,75
-0.28366,13.11794,75
-0.27346,12.99194,75
-0.26325,13.01994,75
-0.25304,13.11794,75
-0.24283,13.13194,75
-0.23263,13.13194,75
-0.22242,13.35594,75
-0.21221,13.52394,75
-0.202,13.59394,75
-0.19179,13.87394,75
-0.18159,14.16794,75
-0.17138,14.37793,75
-0.16117,14.72793,75
-0.15096,15.23193,75
-0.14076,15.69393,75
-0.13055,16.14193,75
-0.12034,16.91192,75
-0.11013,17.69592,75
-0.09993,18.49392,75
-0.08972,19.64191,75
-0.07951,20.88791,75
-0.0693,22.0919,75
-0.0591,23.47789,75
-0.04889,25.18589,75
-0.03868,26.72588,75
-0.02847,28.06987,75
-0.01827,29.91787,75
-0.00806,31.49986,75
0.00215,32.81585,75
0.01236,34.25784,75
0.02256,35.68584,75
0.03277,36.63784,75
0.04298,37.37984,75
0.05319,38.45783,75
0.06339,39.05983,75
0.0736,39.14382,75
0.08381,39.64782,75
0.09402,39.73182,75
0.10422,39.21382,75
0.11443,38.63983,75
0.12464,37.98183,75
0.13485,36.70084,75
0.14505,34.97884,75
0.15526,33.59285,75
0.16547,31.84286,75
0.17568,29.88987,75
0.18588,28.46887,75
0.19609,27.22288,75
0.2063,26.01888,75
0.21651,25.14389,75
0.22672,24.72039,75
0.23692,24.31089,75
0.24713,23.91539,75
0.25734,24.08689,75
0.26754,24.18839,75
0.27775,24.20239,75
0.28796,24.52439,75
0.29817,24.94089,75
0.30838,25.20339,75
0.31858,25.50089,75
0.32879,26.08888,75
0.339,26.48788,75
0.34921,26.70838,75
0.35941,27.32088,75
0.36962,27.79688,75
0.37983,28.03137,75
-0.31428,12.31994,80
-0.30408,12.05394,80
-0.29387,12.03995,80
-0.28366,11.99795,80
-0.27346,11.84395,80
-0.26325,11.81595,80
-0.25304,11.89995,80
-0.24283,11.87195,80
-0.23263,11.82995,80
-0.22242,12.02595,80
-0.21221,12.13795,80
-0.202,12.17995,80
-0.19179,12.45994,80
-0.18159,12.72594,80
-0.17138,12.90794,80
-0.16117,13.24394,80
-0.15096,13.76194,80
-0.14076,14.20994,80
-0.13055,14.65794,80
